time,site,link,description,theme
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/mano-pinigai/2024/12/13/news/nuo-sausio-brangstant-maistui-zada-priziureti-kainas-megina-suprasti-kaip-keisis-tvarka-35569256,"Nuo sausio brangstant maistui, žada prižiūrėti kainas: mėgina suprasti, kaip keisis tvarka  (3) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/rinkos-pulsas/2024/12/13/news/-contribee-akcininkai-pardave-visas-valdytas-akcijas-skelbia-kas-isigijo-platforma-35630775,"„Contribee“ akcininkai pardavė visas valdytas akcijas: skelbia, kas įsigijo platformą  ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/verslas/rinkos-pulsas/2024/12/13/news/ministru-kabinetas-patikslino-kitu-metu-biudzeta-daugiau-pinigu-atrieks-vsd-zvyrkeliams-neformaliam-mokiniu-krepseliui-35626612,"Ministrų kabinetas patikslino kitų metų biudžetą: atskleidė, kokioms sritims atrieks daugiausia pinigų Biudžetą įvertino ir G. Paluckas (1) ",Verslas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/futbolas/2024/12/15/news/portugalui-isskirtine-galimybe-anglijoje-35508099,Portugalui – išskirtinė galimybė Anglijoje ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/startai/2024/12/14/news/r-meilutyte-beveik-rekordiniu-greiciu-iplauke-i-pasaulio-cempionato-finala-35658808,R. Meilutytė beveik rekordiniu greičiu įplaukė į pasaulio čempionato finalą  (1) ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/startai/2024/12/13/news/zinute-pries-rusija-pasiuntusi-lietuve-pasalinta-is-funkcinio-sporto-cempionato-35637817,Žinutę prieš Rusiją pasiuntusi lietuvė pašalinta iš funkcinio sporto čempionato ​Kartu pasitraukė visa Lietuvos rinktinė (44) ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/krepsinis/2024/12/15/news/ispudinga-slenksti-perzenges-z-janavicius-apie-pergalinga-metima-kedainiuose-kmt-burtus-ir-zaideja-kuris-labiausiai-pad-35665613,"Įspūdingą slenkstį peržengęs Ž. Janavičius – apie pergalingą metimą Kėdainiuose, KMT burtus ir žaidėją, kuris labiausiai padėtų „Neptūnui“ ",Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/futbolas/2024/12/14/news/taskai-sudelioti-lietuvos-futbolo-rinktine-jau-zino-kada-zais-pasaulio-cempionato-atrankoje-35654305,"Taškai sudėlioti – Lietuvos futbolo rinktinė jau žino, kada žais pasaulio čempionato atrankoje ",Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/krepsinis/2024/12/15/news/tapo-aiskus-du-nba-taures-pretendentai-35664356,Tapo aiškūs du NBA taurės pretendentai ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/krepsinis/2024/12/14/news/pianina-i-kamuoli-iskeitusi-g-petronyte-atvirai-kas-pasikeite-baigus-karjera-ir-kodel-negalvoja-apie-vestuves-35599512,Pianiną į kamuolį iškeitusi G. Petronytė atvirai – kas pasikeitė baigus karjerą ir kodėl negalvoja apie vestuves ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/futbolas/2024/12/14/news/desimtyje-likes-liverpool-sugebejo-isplesti-lygiasias-35660972,Dešimtyje likęs „Liverpool“ sugebėjo išplėšti lygiąsias ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/sportas/krepsinis/2024/12/14/news/autsaideriu-buves-m-basket-sensacingai-parbloske-panevezio-lietkabelio-kluba-35659363,Autsaideriu buvęs „M Basket“ sensacingai parbloškė Panevėžio „Lietkabelio“ klubą ,Sportas
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/14/news/atskleide-kaip-sirijos-sukileliai-pasieke-pergalinga-operacija-pries-b-al-assado-rezima-ruosesi-ne-vienerius-metus-35653986,"Atskleidė, kaip Sirijos sukilėliai pasiekė pergalingą operaciją prieš B. al-Assado režimą: ruošėsi ne vienerius metus  (2) ",Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/2024/12/14/news/rusijoje-sunaikintas-naikintuvas-su-30-ir-trys-traukinio-lokomotyvai-pasidalino-vaizdo-irasais-35651380,Rusijoje sunaikintas naikintuvas Su-30 ir trys traukinio lokomotyvai: pasidalino vaizdo įrašais ,Pasaulis
2024-12-15 13:27:32,Lrytas,https://www.lrytas.lt/pasaulis/rytai-vakarai/2024/12/13/news/ivardijo-laimetojus-po-sirijos-rezimo-griuties-idomu-tai-kad-r-t-erdoganas-v-putino-nebijo--35610374,"Įvardijo laimėtojus po Sirijos režimo griūties: „Įdomu tai, kad R. T. Erdoganas V. Putino nebijo“  (3) ",Pasaulis
